filename,category,ocr_text,detected_language,translation_en,translation_ja,translation_ur,translation_zh,status
Screenshot_12.png,manga,,unknown,,,,,success
Screenshot_2.png,manga,"DETECTIVE COMICS OF THE Y JOKER'S REVERSE BUT TWO WATCHING FIGURES HURRY! A TRICKS! WATCH NOT BEEN FOOLED BY THE JOKER'S THOSE CLOCKS CLEVER RUSE.’ ARE WRONG— ALL THEY'RE THAT ANOTHER A THE FUSS RUNNING, HE'S IN THERE REVERSED CRIME! ABOUT BACKWARDS. SOME PLACE... FIRST THE NEWS DOWN oe STORY...THEN THE GETAWAY... AND NOW: HE'LL RETURN TO STEAL GOLD! THERE THAT INVALID IN THE Wt HUNCH IS RIGHT, FOR WHEELCHAIR— HIS SHOES ARE Bam HE'S BEEN WALKING! QUICK NOW'S A OUR CHANCE PLEASE LET US WS A SWELL Net TIME You WAY OPEN PLAY INVALID, JOKER, UP THAT LOCKED WIPE THE DUST OFF YOUR SHOES.’",en,,Y ジョーカーの逆転の探偵漫画、しかし見ている二人は急いでいます！トリック！ジョーカーのあの時計の巧妙な策略に騙されないように気をつけろ。』は間違っている――他人が騒ぎを起こしているのはすべて、彼はそこで逆転の犯罪を犯しているのだ！後進について。どこかの場所...最初にニュース、ストーリー...その後逃走...そして今:彼は金を盗むために戻ってきます!車椅子の場合、その直感が無効であるという意見は正しいです。彼の靴はバムです、彼は歩いているのです！今がチャンスです。オープンまでに十分な時間を与えてください。無効なプレイ、ジョー​​カー、ロックされた靴の上のほこりを拭いてください。」,Y Joker's Revers کی جاسوسی مزاحیہ لیکن دو دیکھنے والی شخصیات جلدی کریں! ایک چالیں! دیکھو جوکر کی گھڑیوں کی چالاک چالوں سے دھوکہ نہیں کھایا گیا۔ ’غلط ہیں- وہ سب ایک اور ہنگامہ خیز چل رہے ہیں، وہ الٹے جرم میں ہے! پیچھے کی طرف کے بارے میں کچھ جگہ... پہلی خبر نیچے کی کہانی... پھر فرار... اور اب: وہ سونا چرانے کے لیے واپس آئے گا! Wt HUNCH میں وہ غلط ہے، وہیل چیئر کے لیے- اس کے جوتے بام ہیں وہ چل رہا ہے! ابھی ہمارا موقع ہے، براہِ کرم ہمیں ایک صاف ستھرا وقت آنے دیں جب آپ کھلے کھلے کھیل کو غلط، جوکر، آپ کے جوتوں کی دھول مٹانے کے لیے بند کر دیں۔,Y小丑反转的侦探漫画，但两个观看人物快点！技巧！注意不要被小丑的那些时钟聪明的诡计所愚弄。”是错误的——所有这些都是另一场大惊小怪的事情，他在那里犯下了逆转的罪行！关于向后。某个地方...首先是故事的新闻...然后是逃跑...现在：他会回来偷金子！那位残疾人的预感是对的，因为他坐轮椅——他的鞋子很糟糕，他一直在走路！现在我们的机会来了，请让我们畅享网络时光，你打开游戏，无效，小丑，上锁，擦掉鞋子上的灰尘。,success
Screenshot_23.png,manga,"CAR rs TH’ Wat per CHEAP-SIXATE HOOKIN’ A Be Rea? “STARTG AGAIN, ALUS WELL UNTIL SHORTY STRIKES A IN ‘THE ROAD, Takes Mer GROUP OF HARD MEN WELL, WHAT'S HAPPENED",en,,格安料金での車の料金は何ですか? 「やり直し、アルス、ショートティが道路で衝突し、屈強な男たちのグループをうまく連れて行くまではうまくいきました、何が起こったのか」,"CAR rs TH' Wat per Cheap-Sixate Hookin' A Be Rea؟ ""دوبارہ شروع کریں، ایلس اس وقت تک جب تک کہ سڑک پر مختصر ہڑتال نہ ہو، سخت آدمیوں کے میر گروپ کو اچھی طرح سے لے جائے، کیا ہوا",CAR rs TH’ Wat per CHEAP-SIXATE HOOKIN’ A Be Rea？ “重新开始，直到矮个子在路上袭击，让梅尔的硬汉们好起来，发生了什么,success
Screenshot_3.png,manga,"Editorial Advisory Board OR, LAURETTA BENDER Associate Professor of Psychiatry School of New York University JOSETTE FRANK Consultant on Children’s Reading, Child Study Association of America OR. BOWIE MILLICAN of English Literature New York University Or. SONES Professor of Education and Director of Curticulum Study, University of Pittsburgh Dr. HARCOURT PEPPARD Acting Director, Bureau of Child Guidance Board of Education, City of New York THERE'S NO SUCH ANIMAL. WE'VE HUNTED HIGH The following mag- azines all bear this trademark as your guarantee of the best in comic reading: ACTION COMICS A DATE WITH JUDY ADVENTURE COMICS ALL-AMERICAN COMICS ALL-FLASH ALL FUNNY COMICS ALL-STAR COMICS ANIMAL ANTICS BATMAN BOY COMMANDOS BUZZY COMIC CAVALCADE DETECTIVE COMICS FLASH COMICS FUNNY FOLKS FUNNY STUFF GREEN LANTERN LEADING COMICS MORE FUN COMICS MUTT JEFF REAL FACT COMICS REAL SCREEN COMICS SENSATION COMICS STAR SPANGLED COMICS SUPERMAN WONDER. WOMAN WORLD'S FINEST COMICS DETECTIVE COMICS, No, Oc! Published mon! ly by National Comics Publications, Lexington Ave., New York Whitney Ellsw Reentered as second closs matter at the Post Office at Now York, under the act of March Yearly subscription in the including postage. Foreign, in American funds, For advert rates oddrese Richard Feldan AND Low, IN LAND OF APE AND CANNIBAL, BUT NOWHERE To BE FOUND IS THE UNKNOWN POOR CHAP, HE'LL NEVER READ THE BOOKS WITH THE SIGN THAT MEANS WANT IT, GEE. -ON THE COVER OF FLASH COMICS FOR YOUR GUARANTEE OF THE BEST IN ANY COMIC MAGAZINE St, New York Entire contents copy- National Comics Publications, Inc. Except those who have authorized ure of their. names, the stories, characters incidents. mentioned ore. en- ticely imaginary and fictitious and ‘no identification with: actual persons, living or dead, is intended or should be inferred. Peinted",en,,"編集諮問委員会 OR、LAURETTA BENDER ニューヨーク大学精神科准教授 JOSETTE FRANK アメリカ児童研究協会、児童読書コンサルタント。ニューヨーク大学英文学のボウイ・ミリカンまたは。 SONES ピッツバーグ大学教育教授兼教育研究部長 ハーコート・ペパード博士 ニューヨーク市児童指導局教育委員会局長代理 そんな動物は存在しない。 WE'VE HUNTED HIGH 以下の雑誌はすべて、最高のコミック読み物を保証するためにこの商標を付けています: アクション コミック ジュディとのデート アドベンチャー コミック オール アメリカン コミック オール フラッシュ オール ファニー コミック オールスター コミック アニマル アンチックス バットマン ボーイ コマンドズ バジー コミック カヴァルケイド 刑事コミック フラッシュ コミックファニー・フォークス ファニー・スタッフ グリーン・ランタン リーディング・コミック もっと楽しいコミック マット・ジェフ リアル・ファクト・コミック リアル・スクリーン・コミック センセーション・コミック スター・スパングル・コミック スーパーマン・ワンダー。女性世界最高のコミック探偵コミック、いいえ、オク！公開モン！ニューヨーク州レキシントンアベニュー、ナショナル・コミックス・パブリケーションズ社発行 ホイットニー・エルズ 郵便料金込みの 3 月年間定期購読の法に基づいて、ナウヨークの郵便局で第 2 次事項として再入力されました。外国人で、アメリカの資金で、広告料金は奇妙だ リチャード・フェルダンとロー、猿と人食いの国で、でもどこにも無名の貧乏人は見つからない、彼はそれが欲しいという意味のサインが書かれた本を決して読まないでしょう、おい。 - あらゆるコミック雑誌の中で最高のものを保証するために、フラッシュ コミックの表紙に掲載 ニューヨーク州セント 内容全体のコピー - National Comic Publications, Inc. 許可を与えた者を除く。名前、ストーリー、登場人物の事件。鉱石について言及した。非常に想像的で架空のものであり、生死を問わず、実際の人物との同一視は意図されておらず、また推測されるべきではありません。塗装済み",ایڈیٹوریل ایڈوائزری بورڈ یا، نیویارک یونیورسٹی کے سائیکیٹری سکول کے ایسوسی ایٹ پروفیسر جوسیٹ فرینک کنسلٹنٹ برائے چلڈرن ریڈنگ، چائلڈ سٹڈی ایسوسی ایشن آف امریکہ یا۔ BOWIE MILLICAN انگریزی ادب نیویارک یونیورسٹی یا. SONES پروفیسر آف ایجوکیشن اور ڈائریکٹر آف کرٹیکولم اسٹڈی، یونیورسٹی آف پٹسبرگ ڈاکٹر ہارکورٹ پیپرڈ قائم مقام ڈائریکٹر، بیورو آف چائلڈ گائیڈنس بورڈ آف ایجوکیشن، سٹی آف نیویارک ایسا کوئی جانور نہیں ہے۔ ہم نے اعلیٰ درجے کا شکار کیا ہے مندرجہ ذیل میگزینز تمام اس ٹریڈ مارک کو مزاحیہ پڑھنے میں بہترین کی ضمانت کے طور پر رکھتے ہیں: ایکشن کامکس ایک تاریخ کے ساتھ جوڈی ایڈونچر کامکس آل امریکن کامکس آل فلاش تمام فنی کامکس آل اسٹار کامکس اور بی ایم بی۔ BUZZY COMIC CAVALCADE جاسوسی مزاحیہ مزاحیہ فلیش کامکس مضحکہ خیز لوگ مضحکہ خیز مواد سبز لالٹین معروف کامکس مزید مزے دار کامکس مٹ جیف حقیقی حقیقت کامکس اصلی اسکرین کامکس سینسیشن کامکس اسپینسسٹارڈس۔ عورت کی دنیا کی بہترین مزاحیہ جاسوسی مزاحیہ، نہیں، Oc! شائع شدہ پیر! نیشنل کامکس پبلی کیشنز، لیکسنگٹن ایوینیو، نیو یارک کی طرف سے وٹنی ایلسو نے ڈاک سمیت مارچ کے سالانہ سبسکرپشن کے ایکٹ کے تحت، ناؤ یارک کے پوسٹ آفس میں دوسرے بند معاملے کے طور پر دوبارہ داخلہ لیا۔ فارن، امریکن فنڈز میں، اشتہاری شرحوں کے لیے رچرڈ فیلڈن اور لو، ان لینڈ آف ایپی اینڈ کینبل، لیکن کہیں بھی نہیں ملنا نامعلوم غریب چیپ ہے، وہ کبھی بھی بہنوں کے ساتھ کتابیں نہیں پڑھے گا۔ -کسی بھی مزاحیہ میگزین سینٹ، نیو یارک میں آپ کی بہترین گارنٹی کے لیے فلیش کامکس کے سرورق پر پورے مواد کی کاپی- نیشنل کامکس پبلی کیشنز، انکارپوریٹڈ کے علاوہ ان لوگوں کے جنہوں نے اس کی اجازت دی ہے۔ نام، کہانیاں، کرداروں کے واقعات۔ ذکر شدہ ایسک. فرضی طور پر خیالی اور فرضی اور 'اس کے ساتھ کوئی شناخت نہیں: حقیقی افراد، زندہ یا مردہ، مقصود ہے یا اس کا اندازہ لگایا جانا چاہیے۔ پینٹ شدہ,"编辑顾问委员会 OR，LAURETTA BENDER 纽约大学精神病学学院副教授 JOSETTE FRANK 美国儿童研究协会儿童阅读顾问 OR。纽约大学英语文学专业的 BOWIE MILLICAN。 SONES 匹兹堡大学教育教授兼课程研究主任 HARCOURT PEPPARD 博士 纽约市教育委员会儿童指导局代理主任 没有这样的动物。 WE’VE HUNTED HIGH 以下杂志均标有此商标，作为您获得最佳漫画阅读体验的保证： ACTION COMICS A DATE with JUDY ADVENTURE COMICS ALL-AMERICAN COMICS ALL-FLASH ALL FUNNY COMICS ALL-STAR COMICS ANIMAL ANTICS BATMAN BOY COMMANDOS BUZZY COMIC CAVALCADE 侦探漫画 Flash COMICS FUNNY民间有趣的东西 绿灯侠 领先漫画 更有趣的漫画 穆特·杰夫 真实漫画 真实屏幕漫画 轰动漫画 星条旗漫画 超人奇迹。女性世界最好的漫画侦探漫画，不，OC！周一发布！由纽约列克星敦大道国家漫画出版社出版 惠特尼·埃尔斯 (Whitney Ellsw) 根据 3 月份的法案，在纽约邮局重新登记为第二封邮件，包括邮资的年度订阅。外国，在美国资金中，对于广告费奇数理查德·费尔丹和低，在猿和食人族的土地上，但无处可找到的是未知的可怜的家伙，他永远不会读带有意味着想要它的标志的书，哎呀。 - FLASH 漫画封面，保证您获得任何漫画杂志中的最佳内容 纽约州圣 全部内容复制 - National Comics Publications, Inc. 经其授权的人除外。名字、故事、人物事件。提到的矿石。令人着迷的想象和虚构，并且“不认同：真实的人，无论是活着的还是死了的，是有意或应该推断的。”彩绘",success
Screenshot_4.png,manga,,unknown,,,,,success
Screenshot_5.png,manga,"NOT YET, SIR, BUT HE HAS TO BE HERE TIMOR, ARE YOU _THEREP",en,,まだですよ、でも彼はティモールに来なければなりません、あなたはそこにいるのですか？,ابھی نہیں جناب، لیکن اسے یہاں ہونا ہے تیمور، کیا آپ ہیں؟,还没有，先生，但他必须在这里 TIMOR，你在吗？,success
Screenshot_6.png,manga,Fe IX FABIA,de,Fe IX FABIA,,,,success
Screenshot_7.png,manga,SF Fx AEF PANE,da,SF Fx AEF PANE,,,,success
Screenshot_8.png,manga,,unknown,,,,,success
handwritten_1.jpg,handwritten,"$$ $$$
So",so,"$$ $$$
So",,,,success
image (1).jpg,handwritten,"a 4
eae” , ae LS in an ad Neer as cAN Noe | all * | an t me ~ | : ~ i 7 4 - \",en,,"4
eae” 、広告内の ae LS Neer as cAN Noe | all * | an t me ~ | : ~ i 7 4 - \","ایک 4
eae” , ae LS ایک اشتہار میں Neer as can Noe | all * | an t me ~ | : ~ i 7 4 - \","一个 4
eae” , ae LS 在广告中 Neer as can Noe | all * | an t me ~ | : ~ i 7 4 - \",success
image (10).jpg,handwritten,"xSSuredness ""Be ila Belle Narie "" ¢ ue lophoue J O. lively song thal change Lemp mid-way .",en,,"xSSuredness ""Be ila Belle Narie"" ¢ ue lophoue J O. 活気のある曲で、途中で Lemp が変わります。","xSSuredness ""Be ila Belle Narie"" ¢ ue lophoue J O. زندہ دل گانا تھال چینج Lemp مڈ وے .",xSSuredness“Be ila Belle Narie”∽ lochoue J O. 活泼的歌曲，中途改变了 Lemp。,success
image (11).jpg,handwritten,Showing Yab Suth ChangeS are of 0,en,,Yab Suth の変更が 0 件であることを表示しています,یاب سوتھ کی تبدیلیاں 0 دکھا رہی ہیں۔,显示 Yab Suth ChangeS 为 0,success
image (2).jpg,handwritten,"‘ \ la a
\",ca,"' \ the a
\",,,,success
image (3).jpg,handwritten,", oe iw op sort: - an Le pe Senor re = wo” 1 - . ¥, '. f o i - Lf i Oe wot 4 & eer - we 4 od _ rm vs , fe a st, E of we x , By yor . t ’ ‘ oy / “it j : vs v . a. f “i
? } fo fae LR Seg Ow EE og PPP FM a NA fo oe le PF ff PETS Di E ER ot pe
; é fe t..-— ed ra e oe CS ff an ge ~"" / Z aa neg { po ft, 9° OAS ; de non ee” i a ed La ial in te FO. a . f me",en,,", oe iw op sort: - an Le pe Senor re = wo” 1 - . ¥, '. f o i - Lf i Oe wot 4 & eer - we 4 od _ rm vs , fe ast, E of we x , By yor . t ’ ‘ oy / “it j : vs v . ａ． f「私」
? } fo fae LR Seg Ow EE og PPP FM a NA fo oe le PF ff PETS Di E ER ot pe
; é fe t..-— ed ra e oe CS ffange ~"" / Z aa neg {po ft、9° OAS ; de non ee」は、Laial inte FO. a . f me を作成しました。",", oe iw op sort: - an Le pe Senor re = wo” 1 - . ¥, '. f o i - Lf i Oe wot 4 & eer - we 4 od _rm بمقابلہ , fe a st, E of we x , By yor. t ’ oy / “it j : vs v . a f ""i
? } fo fae LR Seg Ow EE og PPP FM a NA fo oe le PF ff PETS Di E ER ot pe
; é fe t..-- ed ra e oe CS ff an ge ~"" / Z aa neg { po ft, 9° OAS ; de non ee” i a ed La ial in te FO. a. f me",", oe iw op 排序： - an Le pe Senor re = wo” 1 - . ¥, '. f o i - Lf i Oe wot 4 & eer - we 4 od _ rm vs , fe a st, E of we x , By yor . t ' ‘ oy /“it j : vs v .一个。 ”我
？ } fo fae LR Seg Ow EE og PPP FM a NA fo oe le PF ff PETS Di E ER ot pe
; é fe t..-— ed ra e oe CS ff an ge ~"" / Z aa neg { po ft, 9° OAS ; de non ee” i a ed La ial in te FO. a . f me",success
image (4).jpg,handwritten,"feerecser hace been Crolol Nak 44 fg
aoe teen Creleol Nat “cbaur SeuakimenXh",nl,"feerecser hace leg Crolol Nak 44 fg
aoe teen Creleol Nat “cbaur SeuakimenXh",,,,success
image (5).jpg,handwritten,"A. : ; y 2 bee a i Ne f; “ADO ft. oo ean Ph hs Ne ort aa A . } % mane | oY: fi ? a F if J pr. 4, . a - 3 ( y . As | ha. fe oR 7 fy ahr ip? y 4 ""4 Py “AF : v4 . Se
LW Morag RD CPAAD. , ftp te ANE. (ODN EMO Oy }",en,,"A. : ; y 2 蜂 a i Ne f; “ADO ft. oo ean Ph hs Ne ort aa A . } % mane | oY: fi ? a F if J pr. 4, . a - 3 ( y . As | ha. fe oR 7 fy ahr ip? y 4 ""4 Py “AF : v4 . Se
LW モラグ RD CPAAD。 、ftp te ANE。 (ODNエモオイ}","A. : ; y 2 bee a i Ne f; ""ADO ft. oo ean Ph hs Ne ort aa A. } % mane | oY: fi? a F اگر J pr. 4, a - 3 ( y. As | ha. fe oR 7 fy ahr ip? y 4 ""4 Py ""AF : v4 . Se
LW Morag RD CPAAD۔ ، ایف ٹی پی ٹی اے این ای۔ (ODN EMO Oy }","答：：； y 2 蜜蜂 a i Ne f; “ADO ft. oo ean Ph hs Ne ort aa A . } % mane | oY: fi ? a F if J pr. 4, . a - 3 ( y . As | ha. fe or 7 fy ahr ip? y 4 ""4 Py “AF : v4 . Se
LW 莫拉格路 CPAAD。 , FTP TE ANE。 （ODN EMO 有限公司}",success
image (6).jpg,handwritten,"a fe : ~~ . be
a . wv, . ay. a ‘
iat F py: eae . arn fi ; eens x Nha ca OY Dy Mb ait eee ACTS BA EO aE Ke
- ‘5: “4 : Mat: . fe . my, - . ’ ‘pe 3 ny 8 . oy mo esa 4m 7S - ~ AS . me ‘ Se . a aes ‘ “4 tir ‘49 “es "" ate & ite. ; fore Sas ae : 23.8 Fae . a te y Ree . ee Sk Auli” - 4 om *e ‘ wi ee a . ~_—. . ~
Soar, ae Bea ow Eee BES Be ge wee Oe OW BEG Qa hs Ee =e
a Ay oe r i Wiz” WW Nae oe pa Mantle SAP Peet Sey : Sy",en,,"フェ: ~~ 。なる
。 ｗｖ、。ああ。 「
iat F py: eae 。アーンフィ; eens x Nha ca OY Dy Mb ait eee ACTS BA EO aE Ke
- ‘5: “4 : Mat: . fe . my, - . ” ‘pe 3 ny 8 . oy mo esa 4m 7S - ~ AS . me ‘ Se . a aes ‘ “4 tir ‘49 “es” 食べました。 ;フォアサス ae : 23.8 Fae 。 a te y Ree 。 ee Sk Auli」 - 4 om *e ‘ wi ee a . ~_—. . ~
Soar, ae Bea ow Eee BES Be ge wee Oe OW BEG Qa hs Ee =e
a Ay oe r i Wiz” WW Nae oe pa Mantle SAP Peet Sey : Sy","a fe : ~~ . ہونا
ایک wv، . اے ایک '
iat F py: eae۔ آرن فائی eens x Nha ca OY Dy Mb ait eee ACTS BA EO aE Ke
- '5: ""4: Mat: . fe. my, - . ' 'pe 3 ny 8. oy mo esa 4m 7S - ~ AS. me ' Se. a aes ' ""4 tir '49 ""es "" ate &ite۔ ; Fore Sas ae : 23.8 Fae a te y Ree . ee Sk Auli"" - 4 om *e ' wi ee a . ~_—. . ~
چڑھنا، اے بی ای او ای بی ای ایس بی جی وی او ای او بی ای جی قا ایچ ایس ای = ای
A Ay oe r i Wiz” WW Nae oe pa Mantle SAP Peet Sey : Sy","阿菲：~~。是
一个。西弗吉尼亚州，.哎呀。一个‘
iat F py: eae .阿恩菲; eens x Nha ca OY Dy Mb ait eee ACTS BA EO aE Ke
- ‘5: “4 : Mat: . fe . my, - . ” ‘pe 3 ny 8 . oy mo esa 4m 7S - ~ AS . me ‘ Se . a aes ‘ “4 tir ‘49 “es” ate & ite. ;前 Sas ae：23.8 Fae。 a te y Ree。 ee Sk Auli” - 4 om *e ‘ wi ee a . ~_—. . ~
翱翔，ae Bea ow Eee BES Be ge wee Oe OW BEG Qa hs Ee =e
a Ay oe i Wiz” WW Nae oe pa Mantle SAP Peet Sey : Sy",success
image (7).jpg,handwritten,,unknown,,,,,success
image (8).jpg,handwritten,"wy
We Gene 8 I VALS",pl,"you
We Gene 8 AND VALS",,,,success
image (9).jpg,handwritten,,unknown,,,,,success
image.jpg,handwritten,"pO ek, ot Pe. OR gt Pe Ege ae att il Nie coh | or oot Lot"" . fo a aa atid wre
, i, ” oo Piel EE eer a home Co “7 y ak rae ni ~
a / CP",en,,"ペー、ペー。 OR gt Pe Ege ae att il Nie coh |または、oot Lot"" . fo a aa atid wre
, i, ” oo Piel EE eer a home Co “7 y ak rae ni ~
a/CP","pO ek، ot Pe. OR gt Pe Ege ae att il Nie coh | یا اوٹ لوٹ"" . fo a aa atid wre
, i, ” oo Piel EE eer a home Co “7 y ak rae ni ~
a/CP","pO ek，ot Pe。 OR gt Pe Ege ae att il Nie coh |或 oot Lot"" .fo aa atid wre
, i, ” oo Piel EE eer a home Co “7 y ak rae ni ~
一个/CP",success
Screenshot_1.png,handwritten,"| o 4 | 3 . pf ; — A} yp Lf i. J - ; Pah ~ | |
(A \ RUE ad",id,"| o 4 | 3 . pf ; — A} yp Lf i. J - ; Pah~ | |
(A\RUE ad",,,,success
Screenshot_2.png,handwritten,rOndwrit ten,en,,rオンドライトテン,rOndwrit دس,写十,success
Screenshot_3.png,handwritten,"—a— Spee oe wees tome -_———- -—— — .
=> ~~ > ee —— ——_ a me -
Lo eo: ee ag -
= eee

~~ =e ' ;
~~ .- _: ae

; rm
~~ toe i
—> - . a . eT . a os if re
ao tee Tne P i wt a "" er ae et yate Lee le - se ar :
ora ~ . - pats
ae. Ae 4
gy emas ry , . r
Fae AGEN, | a i
aan aa Soe , YU
_ oo: + -. ~ woe * - .
oe ere

-. 1 ol _ an oe, Ty
bon -~ ‘—— = +) a — 1 4 iz.",en,,"—a— Spee oe wees tome -————- -—— — 。
=> ~~ > ええ —— ——_ 私 -
Lo eo: ee ag -
= ええ

~~ =e ' ;
~~ .- _: え

; rm
~~ つま先
—> - 。 。 eT. OSがあれば
ao tee Tne P i wt a ""er ae et yate Lee le-sear :
おら〜。 - 撫でる
ああ。エー4
ギエマスリ、。 r
フェイ・アジェン、 |あ、私
ああ、ああ、ソー、ユ
_oo: + -。 〜悲惨な* - 。
ああ、エレ

-。 1 ol_an oe、Ty
ボン -~ ‘—— = +) a — 1 4 iz.","—a— Spee oe wees tome -_————- ——— — .
=> ~~> ee —— ——_ a me -
لو ایو: ای ای جی -
= eee

~~ =e ' ;
~~ .- _: ae

; rm
~~ پیر i
--> - ایک ای ٹی ایک OS اگر دوبارہ
ao tee Tne P i wt a "" er ae et yate Lee - se ar :
یا ~ --.پیٹ
ae Ae 4
gy emas ry , . r
Fae AGEN، | ایک میں
aan aa Soe , YU
_oo: + -. ~ افسوس * - .
اوہ پہلے

--. 1 ol _ an oe, Ty
bon -~ ‘—— = +) a — 1 4 iz۔","—a— Spee oe wees tome -_——- -—— — 。
=> ~~ > ee —— ——_ 一个我 -
Lo eo: ee ag -
= ee

~~=e';
~~ .- _: ae

; rm
~~脚趾我
—>-。一个。 eT 。操作系统如果重新
ao tee Tne P i wt a ""er ae et yate Lee le-se ar :
奥拉～。 - 拍拍
ae. AE 4
吉埃马斯里，。 r
费阿根，|我
苏
_ oo：+ -。 〜祸* - 。
厄埃雷

-. 1 ol _ oe, Ty
bon -~ ‘—— = +) a — 1 4 iz.",success
