filename,category,raw_ocr_text,status
image.jpg,handwritten,hn hye ~e phn c0me ig os ripe 8,success
Screenshot_1.png,handwritten,,success
Screenshot_2.png,handwritten,andwrit ten,success
Screenshot_3.png,handwritten,,success
test_image.jpg,handwritten,,success
Screenshot_1.png,stylized,"THEIR MINDS!
EXPLODES

Bee

FONDA sTicKs

DYNAMITE!

ANGRY WY",success
Screenshot_10.png,stylized,TOKYO EXHIBITION,success
Screenshot_11.png,stylized,,success
Screenshot_12.png,stylized,"aD ode Debs obese vdob dey
4

2
*
=
”
*
*
ry
*
+
ca

ed ee

HPP SEES HS bt oe

Bs oD oe oe evoke vedo ap ode voles ote de",success
Screenshot_13.png,stylized,"ir Trafalgar

Square
Lambeth —>",success
Screenshot_14.png,stylized,"H P Give way to No footway
umps Tor oncoming",success
Screenshot_15.png,stylized,==20)h,success
Screenshot_16.png,stylized,"NO
EXIT",success
Screenshot_17.png,stylized,"NO
ENTRY",success
Screenshot_18.png,stylized,"4 , “7 os 7 ji———s = ne a
S ey aoe
a Ee } et

KMARKET SQUARE}

|",success
Screenshot_19.png,stylized,"The Royal Borough of Aensington
and Chelsea

PAVILION
STREET, SW1",success
Screenshot_2.png,stylized,,success
Screenshot_20.png,stylized,"Watford al
Amersham ¥
il

M250",success
Screenshot_3.png,stylized,"AMAICA ROAD

LATE ty DOK KHEAD",success
Screenshot_4.png,stylized,,success
Screenshot_5.png,stylized,"BRIDGE ST

> A 458 |
TOURBRIDGE|",success
Screenshot_6.png,stylized,"CAUTION
DANGEROUS CORNER
DRIVE s SLOWLY",success
Screenshot_7.png,stylized,,success
Screenshot_8.png,stylized,"nis
a Beene eyes

aT (iL LITES

The entrance to the quest room becomes only a hotel guest
| would like the meetings in a lobby",success
Screenshot_9.png,stylized,,success
