filename,category,image_path,ground_truth,notes
Screenshot_1.png,stylized,sample_images/stylized\Screenshot_1.png,"LIFE IS AT THEIR HANDS- DEATH IS ON THEIR MINDS HENRY FONDA 12 ANGRY MEN, IT EXPLODES LIKE 12 STICKS OF DYNAMITE!",
Screenshot_2.png,stylized,sample_images/stylized\Screenshot_2.png,,"Ineligable, only for training SVM"
Screenshot_3.png,stylized,sample_images/stylized\Screenshot_3.png,AMAICA ROAD S EN LATE DOCKHEAD,
Screenshot_4.png,stylized,sample_images/stylized\Screenshot_4.png,STAR WARS L'EMPIRE CONTRE-ATTAQUE STAR WARS MARK HAMILL – HARRISON FORD – CARRIE FISHER BILLY DEE WILLIAMS – ANTHONY DANIELS,
Screenshot_5.png,stylized,sample_images/stylized\Screenshot_5.png,"BRIDGE ST, A 458, TOURBRIDGE",
Screenshot_6.png,stylized,sample_images/stylized\Screenshot_6.png,CAUTION DANGEROUS CORNER DRIVE SLOWLY,
Screenshot_7.png,stylized,sample_images/stylized\Screenshot_7.png,最後の夜,
Screenshot_8.png,stylized,sample_images/stylized\Screenshot_8.png,"客室への立入りは
ご宿泊者のみとなります。
ご面会等はロビーにて
お願い申し上げます。
The entrance to the guest room becomes only a hotel guest
I would like the meetings in a lobby",
2.jpg,manga,sample_images/manga\2.jpg,"月が不気味な顔に!
世界に起きた異変の
正体とは!? ,    あ… あれは,    なんだ あの
コミカルな
月は!!!",
15.jpeg,manga,sample_images/manga\15.jepg,"アーサーのほうが傷ついている!!,やはり脆弱いな人間,それ息でも,",
Screenshot_4.png,manga,sample_images/manga\Screenshot_4.png,"嗯?,它、它、它在动吗?,阿噗!,嗯? 那是谁?,龙，原来是你!,哈哈哈!,轰隆!,怎么回事? ……龙?你在干嘛?,哼，我恨这个……,还有这个……,还有这个……,龙打中了麒麟的腿。,哎哟!",
Screenshot_5.png,manga,sample_images/manga\Screenshot_5.png,"OVER HERE., ANY SIGN OF HIM?, NOT YET, SIR, BUT HE HAS TO BE AROUND HERE SOME--, TIMOR? TIMOR, ARE YOU THERE?",
Screenshot_6.png,manga,sample_images/manga\Screenshot_6.png,"十一年了整整十一年系统你就不能给我好一点的天赋吗, 气抖冷……, 点赞转发",
Screenshot_7.png,manga,sample_images/manga\Screenshot.7.png,"我重生以后
自带系统
这是多少人
梦寐以求的事

不过每天只能摇一次
灵根资质和先天气运
这个设定真是坑爹啊

可十一年都过来了
我又何必在乎
这么一两天呢",
Screenshot_8.png,manga,sample_images/manga\Screenshot.8.png,"OR…. SO I THOUGHT,",
Screenshot_10.png,manga,sample_images/manga\Screenshot.10.png,"コ…コロン…
その生物は
一体何だ!?

わーっ
そんな物
食べるな!!

バリッ バリッ",
Screenshot_12.png,manga,sample_images/manga\Screenshot.12.png,BLOOD MANIP-ULA-TION…,
image (10).jpg,handwritten,sample_images/handwritten\image (10).jpg,"assuredness ""Bella Bella Marie"" (Parlophone), a lively song that changes tempo mid-way.",
image (11).jpg,handwritten,sample_images/handwritten\image (11).jpg,showing that such changes are part of a,
Screenshot_1.png,handwritten,sample_images/handwritten\Screenshot.1.png,Always,
Screenshot_2.png,handwritten,sample_images/handwritten\Screenshot.2.png,Handwritten,
Screenshot_9.png,stylized,sample_images/stylized\Screenshot_9.png,中文字牌,
Screenshot_10.png,stylized,sample_images/stylized\Screenshot_10.png,"コ…コロン…
その生物は
一体何だ!?

わーっ
そんな物
食べるな!!

バリッ バリッ",
Screenshot_11.png,stylized,sample_images/stylized\Screenshot_11.png,避険車道,
Screenshot_12.png,stylized,sample_images/stylized\Screenshot_12.png,"آپ کی احتیاط
آپ کی سلامتی کی
ضمانت ہے",
Screenshot_13.png,stylized,sample_images/stylized\Screenshot_13.png,"Trafalgar Square  
Lambeth Bridge",
Screenshot_14.png,stylized,sample_images/stylized\Screenshot_14.png,"Humps for ½ mile  
Give way to oncoming vehicles  
No footway for 400 yds",
Screenshot_15.png,stylized,sample_images/stylized\Screenshot_15.png,Max Speed 20,
Screenshot_16.png,stylized,sample_images/stylized\Screenshot_16.png,NO EXIT,
Screenshot_17.png,stylized,sample_images/stylized\Screenshot_17.png,NO ENTRY,
Screenshot_18.png,stylized,sample_images/stylized\Screenshot_18.png,MARKET SQUARE,
Screenshot_19.png,stylized,sample_images/stylized\Screenshot_19.png,"The Royal Borough of Kensington and Chelsea
PAVILION STREET, S.W.1",
Screenshot_20.png,stylized,sample_images/stylized\Screenshot_20.png,"Watford  
Amersham  
M25",
image (12).jpg,,testing_images\image (12).jpg,meeting in London on Monday. Once the Common,
Screenshot_3.png,,testing_images\Screenshot_3.png,TO DO LIST,
Screenshot_4.png,,testing_images\Screenshot_4.png,Write 'n'  Wipe Poster,
Screenshot_9.png,,testing_images\Screenshot_9.png,IT’S UNBREAKABLE. SEE? !!!?,
Screenshot_11.png,,testing_images\Screenshot_11.png,"...SAVE THE SOUL SOCIETY. 
ICHIGO KUROSAKI...!",
Screenshot_13.png,,testing_images\Screenshot_13.png,"Paperink
A natural ballpoint handwriting font",
